"Ordre";"Article";"TyAr";"Div.";"Ges";"CtrPr";"Total Coûts Réel"
"402137498";"14573102005";"PIE";"TCAD";"800";"732010";"297,81"
"402137530";"14573104007";"PIE";"TCAD";"800";"732010";"273,99"
"402137533";"14573104008";"PIE";"TCAD";"800";"732010";"293,53"
"402137502";"14576680045";"PIE";"TCAD";"800";"732010";"1334,2"
"402137503";"14576680045";"PIE";"TCAD";"800";"732010";"1218,12"
"402137504";"14576680045";"PIE";"TCAD";"800";"732010";"1366,52"
"402137511";"14576680046";"PIE";"TCAD";"800";"732010";"1357,17"
"402137513";"14576680046";"PIE";"TCAD";"800";"732010";"1443,56"
"402137514";"14576680046";"PIE";"TCAD";"800";"732010";"1376,95"
"402137518";"14576681049";"PIE";"TCAD";"800";"732010";"1289,89"
"402137520";"14576681049";"PIE";"TCAD";"800";"732010";"1409,93"
"402137521";"14576681049";"PIE";"TCAD";"800";"732010";"1241,76"
"402137522";"14576681051";"PIE";"TCAD";"800";"732010";"1373,12"
"402137523";"14576681051";"PIE";"TCAD";"800";"732010";"1276,82"
"402137526";"14576681051";"PIE";"TCAD";"800";"732010";"1361,23"
"402137577";"17061901013";"PIE";"TCAD";"800";"732010";"1381,16"
"402137578";"17061901013";"PIE";"TCAD";"800";"732010";"1311,92"
"402137579";"17061901013";"PIE";"TCAD";"800";"732010";"1267,75"
"402137592";"17061901013";"PIE";"TCAD";"800";"732010";"1315,57"
"402137593";"17061901013";"PIE";"TCAD";"800";"732010";"1308,97"
"402137594";"17061901013";"PIE";"TCAD";"800";"732010";"1340,42"
"401999016";"3130S9901001";"PIE";"TCAD";"850";"732010";"371,1"
"402134155";"319A7300352";"PIE";"TCAD";"853";"732010";"3383,1"
"401993747";"330A21052321";"PIE";"TCAD";"I90";"732030";"13,57"
"402130728";"330A21053421";"PIE";"TCAD";"F12";"732030";"26,08"
"402033385";"330A212305219";"PIE";"TCAD";"850";"732030";"189,92"
"402061707";"330A212305219";"PIE";"TCAD";"850";"732030";"283,17"
"402079985";"330A21230532";"PIE";"TCAD";"850";"732030";"4,12"
"402134202";"330A25203727";"PIE";"TCAD";"850";"732030";"61,77"
"402127729";"330A31172220";"PIE";"TCAD";"F12";"732030";"7,69"
"402130602";"330A31172320";"PIE";"TCAD";"850";"732030";"91,75"
"402131022";"330A31177502";"PIE";"TCAD";"I30";"732030";"2237,16"
"402130548";"330A31177523";"PIE";"TCAD";"850";"732030";"99,36"
"402117845";"330A31177538";"PIE";"TCAD";"850";"732030";"95,5"
"402130550";"330A31177538";"PIE";"TCAD";"850";"732030";"153,86"
"402117846";"330A31177545";"PIE";"TCAD";"850";"732030";"117,27"
"402130552";"330A31177545";"PIE";"TCAD";"850";"732030";"152,54"
"402051677";"330A58126220";"PIE";"TCAD";"F18";"732030";"1250,41"
"402130553";"330A58321220";"PIE";"TCAD";"850";"732030";"426,46"
"402130594";"330A58321221";"PIE";"TCAD";"850";"732030";"357,31"
"402048195";"330A72133123";"PIE";"TCAD";"F12";"732030";"3,55"
"402098477";"330A72133600";"PIE";"TCAD";"853";"732030";"3069,46"
"402102213";"330A8713100301";"PIE";"TCAD";"I30";"732030";"4035,62"
"402136901";"330A87131060";"PIE";"TCAD";"I30";"732030";"13,11"
"402126143";"330A87131061";"PIE";"TCAD";"I30";"732030";"13,57"
"402124140";"330A8713109990";"PIE";"TCAD";"I30";"732030";"4033,83"
"402136907";"330A8713109990";"PIE";"TCAD";"I30";"732030";"3755,46"
"402081566";"330A871318201";"PIE";"TCAD";"850";"732030";"249,16"
"402058778";"330A87132007";"PIE";"TCAD";"I30";"732030";"14176,3"
