"Article";"Division";"Stock total";"UQ";"Valeur Globale";"PMP";"Par";"ClVa";"CtrPr";"Type Art.";"Gest"
"0462003OUT";"TCAD";"30";"ST";"20,05";"0,67";"1";"3110";"732010";"ACHD";"A45"
"0502080OUT";"TCAD";"10";"ST";"211,14";"21,11";"1";"3180";"732010";"ACHD";"A45"
"0512060OUT";"TCAD";"10";"ST";"109,22";"10,92";"1";"3180";"732010";"ACHD";"A45"
"0512080OUT";"TCAD";"10";"ST";"264,34";"26,43";"1";"3180";"732010";"ACHD";"A45"
"0517010OUT";"TCAD";"10";"ST";"443,25";"44,33";"1";"3180";"732010";"ACHD";"A45"
"0528003OUT";"TCAD";"50";"ST";"77,3";"1,55";"1";"3180";"732010";"ACHD";"A45"
"0528004OUT";"TCAD";"50";"ST";"79,55";"159,1";"100";"3180";"732010";"ACHD";"A45"
"0601050OUT";"TCAD";"20";"ST";"74,65";"3,73";"1";"3180";"732010";"ACHD";"A45"
"0611040OUT";"TCAD";"10";"ST";"18,17";"1,82";"1";"3180";"732010";"ACHD";"A45"
"0611080OUT";"TCAD";"10";"ST";"35,5";"3,55";"1";"3180";"732010";"ACHD";"A45"
"735312";"TCAD";"4950";"M";"1237,5";"25";"100";"3100";"732010";"CMS";"A04"
"7495835";"TCAD";"76";"ST";"1001,68";"13,18";"1";"3180";"732010";"ACHD";"A04"
"74962";"TCAD";"1,05";"ST";"7,87";"7,5";"1";"3180";"732010";"CMS";"A04"
"1000600OUT";"TCAD";"100";"ST";"426,02";"4,26";"1";"3180";"732010";"ACHD";"A45"
"1016802104";"TCAD";"0,084";"ST";"4,39";"52,26";"1";"3100";"732010";"CMS";"A01"
"1016806052";"TCAD";"0,084";"ST";"25,12";"299,05";"1";"3100";"732010";"CMS";"A01"
"7010620";"TCAD";"14";"L";"277,38";"19,81";"1";"3180";"732010";"CMS";"A18"
"1017332700";"TCAD";"1,77";"ST";"593,75";"335,45";"1";"3100";"732010";"CMS";"A01"
"7900009";"TCAD";"11";"ST";"341";"31";"1";"3180";"732010";"ACHD";"A04"
"7900052";"TCAD";"2";"ST";"142,72";"71,36";"1";"3180";"732010";"ACHD";"A04"
"912005";"TCAD";"50";"KG";"1358";"27,16";"1";"3180";"732010";"CMS";""
"1190039090";"TCAD";"5,652";"M2";"125,25";"22,16";"1";"3100";"732010";"CMS";"A01"
"65515";"TCAD";"18";"ST";"1,69";"0,09";"1";"3110";"732010";"ACHD";"A45"
"752327";"TCAD";"6000";"ST";"2346";"39,1";"100";"3180";"732010";"ACHD";"A04"
"752328";"TCAD";"14600";"ST";"1125,66";"7,71";"100";"3100";"732010";"CMS";"A04"
"7523281";"TCAD";"24000";"ST";"1908";"7,95";"100";"3100";"732010";"ACHD";"A04"
"752329";"TCAD";"12100";"ST";"932,72";"7,71";"100";"3100";"732010";"CMS";"A04"
"7523291";"TCAD";"24900";"ST";"1898,8";"7,63";"100";"3100";"732010";"CMS";"A04"
"7523292";"TCAD";"7430";"ST";"570,3";"7,68";"100";"3180";"732010";"CMS";"A04"
"7523294";"TCAD";"23550";"ST";"1815,18";"7,71";"100";"3180";"732010";"CMS";"A04"
"7523295";"TCAD";"11000";"ST";"546,4";"4,97";"100";"3130";"732010";"CMS";"A18"
"752332";"TCAD";"24000";"ST";"1773,12";"7,39";"100";"3100";"732010";"CMS";"A04"
"7523324";"TCAD";"2150";"ST";"1827,5";"85";"100";"3100";"732010";"CMS";"A18"
"7523325";"TCAD";"500";"ST";"212,5";"42,5";"100";"3100";"732010";"CMS";"A04"
"7523327";"TCAD";"440";"ST";"242";"55";"100";"3100";"732010";"CMS";"A18"
"921132";"TCAD";"50";"KG";"183";"3,66";"1";"3180";"732010";"CMS";"A18"
"752341";"TCAD";"21775";"ST";"688,09";"3,16";"100";"3100";"732010";"CMS";"A18"
"752342";"TCAD";"22000";"ST";"709,06";"3,22";"100";"3100";"732010";"CMS";"A04"
"754531";"TCAD";"125";"ST";"567,5";"4,54";"1";"3180";"732010";"ACHD";"A04"
"75650";"TCAD";"2";"KG";"30,7";"15,35";"1";"3180";"732010";"ACHD";""
"757621";"TCAD";"220";"M2";"327,8";"1,49";"1";"3100";"732010";"CMS";"A18"
"718020";"TCAD";"20";"L";"6,6";"0,33";"1";"3180";"732010";"CMS";"A18"
"75802";"TCAD";"250";"ST";"74,32";"29,73";"100";"3180";"732010";"ACHD";"A18"
"7242820";"TCAD";"10";"ST";"405,5";"40,55";"1";"3180";"732010";"ACHD";"A18"
"76001";"TCAD";"3346";"ST";"6088,88";"1,82";"1";"3180";"732010";"CMS";"A18"
"68150";"TCAD";"110";"ST";"406,94";"3,7";"1";"3160";"732010";"ACHD";"A45"
"68160";"TCAD";"110";"ST";"425,21";"3,87";"1";"3160";"732010";"ACHD";"A45"
"68170";"TCAD";"110";"ST";"494,58";"4,5";"1";"3160";"732010";"ACHD";"A45"
"74681";"TCAD";"11";"ST";"9,9";"90";"100";"3180";"732010";"CMS";"A04"
